RootCategory,Textbox69,SystemQuantity3,AdjustmentQuanity4,VatSales8,Profit5,Textbox462,ParentCategory,Qty5,CostOfSales5,Sales5,VatSales6,Profit3,Textbox459,ProductCategory,Textbox48,SystemQuantity2,AdjustmentQuanity3,VatSales5,Profit2,Textbox460,ProductName,ProductUOM2,CurrentRTL,Textbox51,Textbox52,Textbox53,VatRate,Textbox54,Profit1,MrgPercent,LastSold,Textbox56,CostOfSales,Textbox57,Textbox60,Profit,OverallMargin
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CAPSULES,23.00,70.75,145.00,27.09,47.16,40.00,VUSE  EPOD CHILLMINT VPRO 18MG,5000393169235,7.00,2.00,6.82,14.00,23.00,2.62,4.56,40.07,09/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CAPSULES,23.00,70.75,145.00,27.09,47.16,40.00,VUSE  EPOD VERYBERRY VPRO 12MG,5000393169303,7.00,1.00,3.41,7.00,23.00,1.31,2.28,40.07,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CAPSULES,23.00,70.75,145.00,27.09,47.16,40.00,VUSE  EPOD VERYBERRY VPRO 18MG,5000393169334,7.00,1.00,3.41,7.00,23.00,1.31,2.28,40.07,02/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CAPSULES,23.00,70.75,145.00,27.09,47.16,40.00,VUSE EPOD GARDEN STWBERRY 18MG,5000393169556,7.00,1.00,3.41,7.00,23.00,1.31,2.28,40.07,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CAPSULES,23.00,70.75,145.00,27.09,47.16,40.00,VUSE  EPOD CREAMTMNT VPRO 12MG,5000393169709,7.00,2.00,6.82,14.00,23.00,2.62,4.56,40.07,03/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CAPSULES,23.00,70.75,145.00,27.09,47.16,40.00,VUSE EPEN3 CRSHMINT VPRO,5000393169914,6.00,16.00,46.88,96.00,23.00,17.92,31.20,39.96,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JPS BLUE 100S 20PK,4030600111758,12.50,6.00,55.56,75.00,23.00,14.04,5.40,8.86,09/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JPS BLUE  20 KS 20PK,4030600111789,12.50,14.00,129.64,175.00,23.00,32.76,12.60,8.86,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,PLAYERS NAVY CUT 20S 20PK,4030600178973,14.80,2.00,22.12,29.60,23.00,5.54,1.94,8.06,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JOHN PLAYER BLUE BIG 24S 24PK   8,4030600204900,16.20,1.00,12.31,16.20,23.00,3.03,0.86,6.53,01/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JOHN PLAYER BLUE 27'S 27PK   8,4030600207208,17.90,7.00,93.45,125.30,23.00,23.45,8.40,8.25,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JPS BLUE 28'S,4030600261484,16.50,4.00,48.96,66.00,23.00,12.36,4.68,8.72,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JPS RED  23'S,4030600261545,14.15,4.00,42.20,56.60,23.00,10.60,3.80,8.26,08/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JPS COOL GREEN KS 20,4030600275726,12.30,1.00,9.10,12.30,23.00,2.30,0.90,9.00,04/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SUPERKING BLACK 20PK,4030600282953,14.30,14.00,149.38,200.20,23.00,37.38,13.44,8.25,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JPS BLUE KS 34'S,4030600289471,20.00,15.00,222.45,300.00,23.00,56.10,21.45,8.79,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,BLAS MENTHOL CHILL CARD,4030700134282,0.35,29.00,6.09,10.15,23.00,1.96,2.10,25.64,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,CAMEL FILTER 20 PK 20PK,40329055,14.00,3.00,31.35,42.00,23.00,7.86,2.79,8.17,03/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,CAMEL BLUE 20 PK 20PK,40329086,14.00,10.00,104.50,140.00,23.00,26.20,9.30,8.17,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JPS SILVER KS 20PK,5010813814843,12.50,5.00,46.30,62.50,23.00,11.69,4.51,8.88,09/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JPS RED KS 715 20PK,5010813814911,12.50,2.00,18.52,25.00,23.00,4.68,1.80,8.86,08/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JPS RED 100 FLASH 715 20PK,5010813814935,12.50,13.00,120.38,162.50,23.00,30.41,11.71,8.87,08/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MAYFAIR KINGSIZE ORIGINAL 20PK,5011054100009,12.80,5.00,47.90,64.00,23.00,11.95,4.15,7.97,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MAYFAIR KINGSIZE SMOOTH 20PK,5011054100030,12.80,4.00,38.32,51.20,23.00,9.56,3.32,7.97,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MAYFAIR S KINGS ORGINAL 20PK,5011054100139,12.80,17.00,162.86,217.60,23.00,40.63,14.11,7.97,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MAYFAIR S/KING SKY BLUE 20 S,5011054100160,12.80,7.00,67.06,89.60,23.00,16.73,5.81,7.97,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,B & H GOLD KS BIG BOX 23S 23PK,5011054100702,16.30,3.00,36.63,48.90,23.00,9.15,3.12,7.85,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT PURP BIG BX 23'S 23PK,5011054100764,16.30,6.00,73.98,97.80,23.00,18.30,5.52,6.94,09/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT BLUE BIG BX 23'S 23PK,5011054100801,16.30,2.00,24.42,32.60,23.00,6.10,2.08,7.85,03/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT PURPLE 100'S 20PK,5011054101204,14.50,12.00,130.43,174.00,23.00,32.52,11.05,7.81,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,B & H GOLD 20'S 20PK,5011054104205,14.50,72.00,782.47,1044.00,23.00,195.12,66.41,7.82,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT BLUE 100'S 20PK,5011054105202,14.50,4.00,43.44,58.00,23.00,10.84,3.72,7.89,09/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT PURPLE KING 20PK,5011054108203,14.50,56.00,608.49,812.00,23.00,151.76,51.75,7.84,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT BLU K SIZE 20PK 20PK,5011054109200,14.50,35.00,380.10,507.50,23.00,94.85,32.55,7.89,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT SILV K SIZE 20P 20PK,5011054112200,14.50,9.00,97.74,130.50,23.00,24.39,8.37,7.89,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT SILV 100S 20PK 20PK,5011054123206,14.50,2.00,21.72,29.00,23.00,5.42,1.86,7.89,04/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,DUNHILL INTERNATIONAL 20PK,50393510,14.70,1.00,11.54,14.70,23.00,2.75,0.41,3.43,08/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,L&M BLUE LABEL KINGSIZE 20PK,5060077781818,12.00,8.00,71.76,96.00,23.00,17.93,6.31,8.08,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MARLBORO GOLD TOUCH 20PK,5060077782310,12.50,6.00,56.46,75.00,23.00,14.04,4.50,7.38,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MARLBORO GOLD 27'S 27PK,5060592003228,18.00,9.00,121.05,162.00,23.00,30.33,10.62,8.07,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,CARROLLS NUMBER ONE 20PK,5099513101200,14.50,8.00,86.16,116.00,23.00,21.68,8.16,8.65,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,BENSON & HEDGES GOLD 35'S 35PK,53992277,25.00,6.00,112.32,150.00,23.00,28.02,9.66,7.92,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MAYFAIR MEGABOX 33'S 33PK,53992321,20.50,1.00,15.36,20.50,23.00,3.83,1.31,7.86,04/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT BLUE 27'S 27PK,53992338,18.80,4.00,56.32,75.20,23.00,14.08,4.80,7.85,09/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT PURPLE 27'S 27PK,53992345,18.80,7.00,98.56,131.60,23.00,24.63,8.41,7.86,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,BENSON & H GOLD 27'S 27PK,53992352,18.80,23.00,323.98,432.40,23.00,80.96,27.46,7.81,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MAYFAIR SEA GREEN SKING 20PK,53992369,12.80,8.00,76.64,102.40,23.00,19.12,6.64,7.97,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MAYFAIR SEA GREEN 20PK,53992376,12.80,2.00,19.16,25.60,23.00,4.78,1.66,7.97,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT CHOICE GREEN 20PK,53992383,14.50,21.00,228.06,304.50,23.00,56.91,19.53,7.89,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MAYFAIR CHOICE RED&GREEN 20PK,53992390,12.80,1.00,9.33,12.80,23.00,2.39,1.08,10.37,08/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,SILK CUT CHOICE GRN SLINE 20PK,53992413,14.00,4.00,42.00,56.00,23.00,10.48,3.52,7.73,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MAYFAIR SK ORIGINAL 27'S 27PK,53992444,17.00,5.00,63.65,85.00,23.00,15.90,5.45,7.89,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JOHN PLAYER 100 S 20PK,53996053,14.10,1.00,10.52,14.10,23.00,2.64,0.94,8.20,07/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,JOHN PLAYER BLUE 20PK 20 PK,53996084,14.10,22.00,231.99,310.20,23.00,58.05,20.16,8.00,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MARLBORO GOLD 20K,87248630,14.20,31.00,332.01,440.20,23.00,82.45,25.74,7.19,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MARLBORO RED 20PK,87248777,14.20,12.00,128.52,170.40,23.00,31.92,9.96,7.19,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,CARROLLS NUMBER ONE 23PK,96135877,15.50,1.00,11.58,15.50,23.00,2.90,1.02,8.10,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,MAJOR 25PK,96135914,17.90,6.00,80.04,107.40,23.00,20.10,7.26,8.32,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,ROTHMANS KS ORIGINAL 20PK,96136003,14.70,2.00,21.84,29.40,23.00,5.50,2.06,8.62,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,VOGUE ESSENCE BLEUE 20PK,96136010,14.30,5.00,53.40,71.50,23.00,13.35,4.75,8.17,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,PALL MALL KS RED XL 30PK,96184578,16.80,20.00,253.40,336.00,23.00,62.80,19.80,7.25,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,PALL MALL KS BLUE XL 30PK,96184585,16.80,3.00,38.01,50.40,23.00,9.42,2.97,7.25,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,VOGUE COMPACT BLEUE 20PK,96191446,13.30,2.00,19.84,26.60,23.00,4.98,1.78,8.23,05/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,PALL MALL FLOW KS RED 20PK,96191453,12.80,24.00,227.76,307.20,23.00,57.37,22.07,8.83,10/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
TOBACCO,1020.00,8797.83,12012.54,2245.19,969.52,9.93,CIGARETTES/ TOBACCO,851.00,8699.01,11802.25,2206.73,896.51,9.34,CIGARETTES,666.00,6985.82,9344.65,1747.31,611.52,8.05,PALL MALL FLOW SK RED 20PK,96191460,12.80,15.00,142.35,192.00,23.00,35.85,13.80,8.84,11/09/21,1020.00,8797.83,12012.54,2245.19,969.52,9.93
