RootCategory,Textbox240,ParentCategory,Textbox65,ProductCategory,Textbox62,ProductName,ProductId,StockLevel1,VatRate1,CaseCost1,CaseSize1,UnitCost1,SalesPrice1,SalesExVat1,Margin1,LastSoldDate,SupplierName,LastDocketId,LastDocketDate,LastDocketSupplier,LastDocketSupplierCode,LastDocketStatus,Created,Modified,Textbox36
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE  EPOD CHILLMINT VPRO 18MG,5000393169235,-6,23.00,17.07,5,3.410,7.00,5.69,40.07,03/09/21,P. J. CARROLL & CO,19053,25/08/21,P. J. CARROLL & CO,169242,Received,16/04/21,25/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE  EPOD CHILLMINT VPRO 6MG,5000393169273,20,23.00,17.07,5,3.410,7.00,5.69,40.07,,P. J. CARROLL & CO,18895,17/08/21,P. J. CARROLL & CO,169280,Received,02/07/21,17/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE  EPOD CREAMTMNT VPRO 12MG,5000393169709,8,23.00,17.07,5,3.410,7.00,5.69,40.07,03/09/21,P. J. CARROLL & CO,19053,25/08/21,P. J. CARROLL & CO,169716,Received,06/07/21,25/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE  EPOD CREAMTMNT VPRO 6MG,5000393169730,3,23.00,17.07,5,3.410,7.00,5.69,40.07,18/08/21,P. J. CARROLL & CO,18281,13/07/21,P. J. CARROLL & CO,169747,Received,03/07/21,13/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE  EPOD PEPPERMINT 12MG,5000393169587,10,23.00,17.07,5,3.410,7.00,5.69,40.07,,P. J. CARROLL & CO,19202,02/09/21,P. J. CARROLL & CO,169594,Received,13/07/21,02/09/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE  EPOD PEPPERMNT VPRO 6MG,5000393169617,9,23.00,17.07,5,3.410,7.00,5.69,40.07,13/08/21,P. J. CARROLL & CO,18281,13/07/21,P. J. CARROLL & CO,169624,Received,06/07/21,13/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE  EPOD VANILLA MEDLEY 12MG,5000393169648,5,23.00,17.07,5,3.410,7.00,5.69,40.07,27/08/21,P. J. CARROLL & CO,19053,25/08/21,P. J. CARROLL & CO,169655,Received,03/07/21,25/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE  EPOD VERYBERRY VPRO 12MG,5000393169303,-6,23.00,17.07,5,3.410,7.00,5.69,40.07,02/09/21,P. J. CARROLL & CO,,,,,,24/04/21,24/04/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE  EPOD VERYBERRY VPRO 18MG,5000393169334,-4,23.00,17.07,5,3.410,7.00,5.69,40.07,02/09/21,P. J. CARROLL & CO,18983,21/08/21,P. J. CARROLL & CO,169341,Received,18/05/21,21/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 APPLE VPRO 12MG,5000393170095,6,23.00,17.58,6,2.930,6.00,4.88,39.96,,P. J. CARROLL & CO,19053,25/08/21,P. J. CARROLL & CO,170101,Received,25/08/21,25/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 CRSHMINT 6MG,5000393169976,-1,23.00,17.58,6,2.930,6.00,4.88,39.96,08/08/21,P. J. CARROLL & CO,19053,25/08/21,P. J. CARROLL & CO,169983,Received,17/04/21,25/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 CRSHMINT VPRO,5000393169914,-48,23.00,17.58,6,2.930,6.00,4.88,39.96,04/09/21,P. J. CARROLL & CO,19053,25/08/21,P. J. CARROLL & CO,169921,Received,24/04/21,25/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 CRSHMINT VPRO,5000393169945,-12,23.00,17.58,6,2.930,6.00,4.88,39.96,09/08/21,P. J. CARROLL & CO,18720,06/08/21,P. J. CARROLL & CO,169952,In Progress,09/04/21,06/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 DARKCHERRYVPRO 12MG,5000393170064,6,23.00,17.58,6,2.930,6.00,4.88,39.96,,P. J. CARROLL & CO,18983,21/08/21,P. J. CARROLL & CO,170071,Received,21/08/21,21/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 JUST MINT VPRO 12MG,5000393170156,-3,23.00,17.58,6,2.930,6.00,4.88,39.96,26/07/21,P. J. CARROLL & CO,18152,06/07/21,P. J. CARROLL & CO,170163,Received,07/06/21,06/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 JUST MINT VPRO 6MG,5000393170187,6,23.00,17.58,6,2.930,6.00,4.88,39.96,,P. J. CARROLL & CO,18152,06/07/21,P. J. CARROLL & CO,170194,Received,02/07/21,06/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 MANGO VPRO 12M,5000393170217,3,23.00,17.58,6,2.930,6.00,4.88,39.96,09/08/21,P. J. CARROLL & CO,18152,06/07/21,P. J. CARROLL & CO,170224,Received,19/06/21,06/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 MASTBLEND CAPS,5000393169853,0,23.00,17.58,6,2.930,6.00,4.88,39.96,22/08/21,P. J. CARROLL & CO,18281,13/07/21,P. J. CARROLL & CO,169860,Received,02/07/21,13/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 MASTBLEND VPRO,5000393170248,12,23.00,17.58,6,2.930,6.00,4.88,39.96,,P. J. CARROLL & CO,18152,06/07/21,P. J. CARROLL & CO,170255,Received,06/07/21,06/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 PEPPERMINTVPRO,5000393170330,6,23.00,17.58,6,2.930,6.00,4.88,39.96,22/08/21,P. J. CARROLL & CO,19202,02/09/21,P. J. CARROLL & CO,170347,Received,19/06/21,02/09/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 PEPPERMINTVPRO,5000393170361,11,23.00,17.58,6,2.930,6.00,4.88,39.96,27/07/21,P. J. CARROLL & CO,18152,06/07/21,P. J. CARROLL & CO,170378,Received,06/07/21,06/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 SBERRY VPRO 12MG,5000393170309,5,23.00,17.58,6,2.930,6.00,4.88,39.96,19/08/21,P. J. CARROLL & CO,19053,25/08/21,P. J. CARROLL & CO,170316,Received,19/08/21,25/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 VANILLA  VPRO 12MG,5000393170125,0,23.00,17.58,6,2.930,6.00,4.88,39.96,08/08/21,P. J. CARROLL & CO,18983,21/08/21,P. J. CARROLL & CO,170132,Received,02/07/21,21/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPEN3 WILDBERRY VPRO 12MG,5000393170422,2,23.00,17.58,6,2.930,6.00,4.88,39.96,18/08/21,P. J. CARROLL & CO,18066,30/06/21,P. J. CARROLL & CO,170439,In Progress,30/06/21,30/06/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPOD CHILLED MINT 12MG,5000393169204,-4,23.00,17.07,5,3.410,7.00,5.69,40.07,28/08/21,P. J. CARROLL & CO,18415,20/07/21,P. J. CARROLL & CO,169211,Received,22/04/21,20/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPOD GARDEN STWBERRY 12MG,5000393169525,-8,23.00,17.07,5,3.410,7.00,5.69,40.07,10/08/21,P. J. CARROLL & CO,19202,02/09/21,P. J. CARROLL & CO,169532,Received,07/04/21,02/09/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPOD GARDEN STWBERRY 18MG,5000393169556,-12,23.00,17.07,5,3.410,7.00,5.69,40.07,02/09/21,P. J. CARROLL & CO,18895,17/08/21,P. J. CARROLL & CO,169563,Received,02/04/21,17/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPOD GOLDEN TOBACCO 12MG,5000393169396,14,23.00,17.07,5,3.410,7.00,5.69,40.07,31/07/21,P. J. CARROLL & CO,19053,25/08/21,P. J. CARROLL & CO,169402,Received,30/06/21,25/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPOD GOLDEN TOBACCO 18MG,5000393169426,8,23.00,17.07,5,3.410,7.00,5.69,40.07,19/08/21,P. J. CARROLL & CO,18895,17/08/21,P. J. CARROLL & CO,169433,Received,30/06/21,17/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPOD JUST MANGO 12MG,5000393169457,5,23.00,17.07,5,3.410,7.00,5.69,40.07,,P. J. CARROLL & CO,18720,06/08/21,P. J. CARROLL & CO,169464,In Progress,03/07/21,03/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VUSE EPOD JUST MANGO VPRO 18MG,5000393169488,9,23.00,17.07,5,3.410,7.00,5.69,40.07,29/07/21,P. J. CARROLL & CO,18720,06/08/21,P. J. CARROLL & CO,169495,In Progress,06/07/21,06/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VYPE EPEN3 JUST MINT CAPS 12MG,5000393030733,-6,23.00,17.58,6,2.930,6.00,4.88,39.96,06/09/20,P. J. CARROLL & CO,,,,,,21/07/20,01/03/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VYPE EPEN3 PEPPERMINT CAP,5000393030092,-6,23.00,17.58,6,2.930,6.00,4.88,39.96,13/05/21,P. J. CARROLL & CO,,,,,,31/07/20,31/07/20,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VYPE EPOD CARTRIDGE MINT 12MG,5000393030153,-10,23.00,17.07,5,3.410,7.00,5.69,40.07,17/05/21,P. J. CARROLL & CO,,,,,,11/05/21,11/05/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VYPE EPOD CHILLED MINT 12MG,5000393030795,-5,23.00,17.07,5,3.410,7.00,5.69,40.07,24/05/21,P. J. CARROLL & CO,,,,,,01/01/21,01/01/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VYPE EPOD GOLDEN TOBACCO 12MG,5000393201270,-2,23.00,17.07,5,3.410,7.00,5.69,40.07,05/06/21,P. J. CARROLL & CO,,,,,,26/04/21,26/04/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VYPE EPOD GOLDEN TOBACCO 18MG,5000393368140,-8,23.00,17.07,5,3.410,7.00,5.69,40.07,27/08/21,P. J. CARROLL & CO,,,,,,06/06/21,06/06/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CAPSULES,38,VYPE EPOD VANILLA MEDLEY 12MG,5000393201362,-5,23.00,17.07,5,3.410,7.00,5.69,40.07,01/06/21,P. J. CARROLL & CO,,,,,,14/05/21,14/05/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,AMERICAN SPIRIT BLUE 20PK,5011054102508,2,23.00,108.59,10,10.860,14.50,11.79,7.89,09/05/21,JTI Ireland LTD.,1053,04/10/17,JTI Ireland LTD.,1102515,Received,18/06/17,04/05/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,B & H GOLD 20'S 20PK,5011054104205,24,23.00,109.67,10,10.970,14.50,11.79,6.96,05/09/21,VALUE CENTER,19246,05/09/21,VALUE CENTER,107169,Received,10/05/16,05/09/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,B & H GOLD 28'S 28PK,53992659,-3,23.00,111.81,8,13.980,18.20,14.80,5.54,23/12/20,VALUE CENTER,14455,14/12/20,VALUE CENTER,693632,In Progress,12/06/19,07/12/20,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,B & H GOLD KS BIG BOX 23S 23PK,5011054100702,6,23.00,97.66,8,12.210,16.30,13.25,7.85,03/09/21,JTI Ireland LTD.,19203,02/09/21,JTI Ireland LTD.,1100719,Received,06/09/16,02/09/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,BENSON & H GOLD 27'S 27PK,53992352,24,23.00,113.77,8,14.220,18.80,15.28,6.94,04/09/21,VALUE CENTER,19246,05/09/21,VALUE CENTER,699671,Received,21/12/20,05/09/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,BENSON & H SELECT100 20PK,5011054101938,-1,23.00,104.50,10,10.450,14.00,11.38,8.17,21/09/20,JTI Ireland LTD.,621,24/05/17,JTI Ireland LTD.,1101945,Received,26/04/17,04/05/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,BENSON & HEDGES GOLD 35'S 35PK,53992277,13,23.00,149.77,8,18.720,25.00,20.33,7.92,02/09/21,JTI Ireland LTD.,19203,02/09/21,JTI Ireland LTD.,1113375,Received,16/03/21,02/09/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,BENSON & HEDGES SILVER KS 20PK,5011054102034,12,23.00,104.46,10,10.450,14.00,11.38,8.17,23/08/21,JTI Ireland LTD.,18714,06/08/21,JTI Ireland LTD.,1102041,In Progress,07/02/17,29/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,BLAS MENTHOL CHILL CARD,4030700134282,-787,23.00,21.46,100,0.210,0.35,0.28,25.00,04/09/21,JOHN PLAYER & SON,19052,25/08/21,JOHN PLAYER & SON,A84,Received,25/05/20,25/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,CAMEL BLUE 20 PK 20PK,40329086,9,23.00,104.52,10,10.450,14.00,11.38,8.17,05/09/21,JTI Ireland LTD.,19057,25/08/21,JTI Ireland LTD.,1000084,Received,10/05/16,25/08/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,CAMEL FILTER 20 PK 20PK,40329055,8,23.00,104.52,10,10.450,14.00,11.38,8.17,03/09/21,JTI Ireland LTD.,18572,29/07/21,JTI Ireland LTD.,1000053,Received,10/05/16,29/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,CARROLLS NUMBER ONE 20PK,5099513101200,19,23.00,107.69,10,10.770,14.50,11.79,8.65,05/09/21,P. J. CARROLL & CO,19202,02/09/21,P. J. CARROLL & CO,084132,Received,10/09/16,02/09/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,CARROLLS NUMBER ONE 23PK,96135877,24,23.00,92.60,8,11.580,15.50,12.60,8.10,03/09/21,P. J. CARROLL & CO,18721,06/08/21,VALUE CENTER,688320,In Progress,30/09/16,28/06/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,DUNHILL INTERNATIONAL 20PK,50393510,37,23.00,115.44,10,11.540,14.70,11.95,3.43,01/09/21,VALUE CENTER,18720,06/08/21,P. J. CARROLL & CO,084217,In Progress,10/05/16,30/07/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,JOHN PLAYER 100 S 20PK,53996053,21,23.00,105.24,10,10.520,14.10,11.46,8.20,02/09/21,JOHN PLAYER & SON,16316,30/03/21,JOHN PLAYER & SON,226,In Progress,10/05/16,24/05/21,388
TOBACCO,388,CIGARETTES/ TOBACCO,342,CIGARETTES,87,JOHN PLAYER BLUE 20PK 20 PK,53996084,31,23.00,106.47,10,10.650,14.10,11.46,7.07,04/09/21,VALUE CENTER,19246,05/09/21,VALUE CENTER,106484,Received,10/05/16,05/09/21,388
